OrderDate,Region,Category,Sales,Profit
2024-01-01,North,Furniture,99,35
2024-01-02,North,Technology,160,60
2024-01-03,North,Office Supplies,423,85
2024-01-04,East,Technology,310,85
2024-01-05,West,Office Supplies,347,45
2024-01-06,West,Furniture,470,24
2024-01-07,West,Office Supplies,421,26
2024-01-08,South,Technology,268,72
2024-01-09,North,Technology,159,32
2024-01-10,West,Technology,116,61
2024-01-11,East,Furniture,176,61
2024-01-12,East,Technology,344,75
2024-01-13,South,Furniture,475,88
2024-01-14,East,Office Supplies,151,97
2024-01-15,East,Furniture,342,65
2024-01-16,North,Furniture,85,51
2024-01-17,East,Technology,296,86
2024-01-18,South,Furniture,237,77
2024-01-19,East,Office Supplies,258,38
2024-01-20,East,Technology,53,86
2024-01-21,West,Furniture,357,68
2024-01-22,West,Furniture,274,60
2024-01-23,East,Furniture,447,65
2024-01-24,East,Office Supplies,314,77
2024-01-25,West,Technology,217,82
2024-01-26,South,Technology,455,56
2024-01-27,East,Office Supplies,77,22
2024-01-28,East,Furniture,425,68
2024-01-29,South,Furniture,346,57
2024-01-30,North,Technology,487,8
2024-01-31,West,Technology,404,16
2024-02-01,West,Technology,257,17
2024-02-02,East,Office Supplies,250,84
2024-02-03,East,Technology,183,49
2024-02-04,North,Furniture,158,35
2024-02-05,West,Furniture,312,39
2024-02-06,East,Office Supplies,331,77
2024-02-07,West,Technology,410,64
2024-02-08,North,Technology,111,11
2024-02-09,South,Furniture,351,29
2024-02-10,East,Furniture,399,24
2024-02-11,North,Technology,171,81
2024-02-12,South,Office Supplies,344,97
2024-02-13,East,Furniture,267,26
2024-02-14,West,Technology,140,48
2024-02-15,North,Furniture,131,15
2024-02-16,East,Office Supplies,231,96
2024-02-17,South,Office Supplies,295,86
2024-02-18,North,Furniture,472,52
2024-02-19,North,Office Supplies,346,82
2024-02-20,North,Office Supplies,346,78
2024-02-21,South,Furniture,448,77
2024-02-22,South,Technology,394,63
2024-02-23,West,Technology,399,37
2024-02-24,West,Technology,419,83
2024-02-25,West,Technology,253,65
2024-02-26,West,Furniture,289,89
2024-02-27,North,Office Supplies,277,14
2024-02-28,West,Office Supplies,486,46
2024-02-29,North,Office Supplies,444,24
2024-03-01,West,Technology,461,14
2024-03-02,East,Office Supplies,426,53
2024-03-03,West,Office Supplies,250,9
2024-03-04,South,Technology,238,69
2024-03-05,South,Furniture,103,81
2024-03-06,South,Office Supplies,139,8
2024-03-07,West,Technology,193,33
2024-03-08,South,Technology,368,88
2024-03-09,West,Furniture,267,30
2024-03-10,South,Office Supplies,76,67
2024-03-11,South,Office Supplies,76,48
2024-03-12,North,Office Supplies,297,37
2024-03-13,South,Technology,479,32
2024-03-14,West,Office Supplies,149,83
2024-03-15,West,Technology,71,59
2024-03-16,North,Furniture,378,96
2024-03-17,West,Furniture,348,37
2024-03-18,East,Furniture,374,19
2024-03-19,North,Furniture,173,56
2024-03-20,North,Technology,271,59
2024-03-21,West,Furniture,471,77
2024-03-22,South,Technology,97,54
2024-03-23,North,Technology,289,58
2024-03-24,North,Technology,434,94
2024-03-25,South,Office Supplies,273,87
2024-03-26,North,Office Supplies,402,81
2024-03-27,North,Furniture,473,74
2024-03-28,North,Office Supplies,116,47
2024-03-29,East,Furniture,272,12
2024-03-30,South,Office Supplies,491,76
2024-03-31,West,Office Supplies,178,27
2024-04-01,East,Technology,227,19
2024-04-02,South,Technology,359,32
2024-04-03,North,Furniture,155,79
2024-04-04,East,Office Supplies,194,22
2024-04-05,South,Furniture,231,61
2024-04-06,West,Office Supplies,337,58
2024-04-07,East,Furniture,144,19
2024-04-08,South,Furniture,386,60
2024-04-09,North,Office Supplies,231,14
2024-04-10,North,Office Supplies,180,93
2024-04-11,South,Furniture,320,75
2024-04-12,East,Furniture,490,89
2024-04-13,North,Office Supplies,313,24
2024-04-14,South,Furniture,338,40
2024-04-15,East,Office Supplies,486,76
2024-04-16,South,Office Supplies,241,69
2024-04-17,West,Office Supplies,153,64
2024-04-18,West,Technology,169,5
2024-04-19,North,Office Supplies,162,28
2024-04-20,West,Furniture,96,7
2024-04-21,West,Technology,235,52
2024-04-22,West,Furniture,139,26
2024-04-23,South,Office Supplies,158,13
2024-04-24,North,Furniture,198,44
2024-04-25,North,Furniture,414,19
2024-04-26,North,Office Supplies,62,97
2024-04-27,West,Furniture,182,63
2024-04-28,East,Furniture,236,69
2024-04-29,North,Office Supplies,462,32
